,Company Name,Form Type,CIK,Date Filed,File Name,Date_filed
21357,AUTHENTIDATE HOLDING CORP,10-Q,885074,2005-02-09,edgar/data/885074/0001125282-05-000542.txt,2005-02-09
21484,AUTOMATIC DATA PROCESSING INC,10-Q,8670,2005-02-08,edgar/data/8670/0000008670-05-000098.txt,2005-02-08
21579,AUTOZONE INC,10-Q,866787,2005-03-11,edgar/data/866787/0001169232-05-001627.txt,2005-03-11
21722,AVANEX CORP,10-Q,1056794,2005-02-09,edgar/data/1056794/0001193125-05-023501.txt,2005-02-09
21791,AVATECH SOLUTIONS INC,10-Q,852437,2005-02-15,edgar/data/852437/0001193125-05-030601.txt,2005-02-15
21806,AVAYA INC,10-Q,1116521,2005-02-08,edgar/data/1116521/0001047469-05-002737.txt,2005-02-08
22084,AVNET INC,10-Q,8858,2005-02-09,edgar/data/8858/0000950124-05-000651.txt,2005-02-09
22194,AVONDALE INC,10-Q,911634,2005-01-07,edgar/data/911634/0000950144-05-000117.txt,2005-01-07
22210,AVX CORP,10-Q,859163,2005-02-09,edgar/data/859163/0000859163-05-000023.txt,2005-02-09
23007,AZZ INC,10-Q,8947,2005-01-14,edgar/data/8947/0001193125-05-006620.txt,2005-01-14
23272,Aearo CO I,10-Q,1290498,2005-02-14,edgar/data/1290498/0001290498-05-000005.txt,2005-02-14
23902,"Ames True Temper, Inc.",10-Q,1297756,2005-02-04,edgar/data/1297756/0000950136-05-000595.txt,2005-02-04
25431,BALDWIN TECHNOLOGY CO INC,10-Q,805792,2005-02-14,edgar/data/805792/0000950123-05-001723.txt,2005-02-14
27114,BANKUNITED FINANCIAL CORP,10-Q,894490,2005-02-08,edgar/data/894490/0001193125-05-022121.txt,2005-02-08
28558,BARR PHARMACEUTICALS INC,10-Q,10081,2005-02-09,edgar/data/10081/0000950123-05-001386.txt,2005-02-09
29705,BCSB BANKCORP INC,10-Q,1052101,2005-02-11,edgar/data/1052101/0001193125-05-026597.txt,2005-02-11
29721,BCTC IV ASSIGNOR CORP,10-Q,1003815,2005-03-10,edgar/data/1003815/0001003815-05-000002.txt,2005-03-10
29726,BCTC V ASSIGNOR CORP,10-Q,1267426,2005-03-10,edgar/data/1267426/0001267426-05-000002.txt,2005-03-10
29811,BEACON ROOFING SUPPLY INC,10-Q,1124941,2005-02-14,edgar/data/1124941/0001104659-05-006021.txt,2005-02-14
30420,BEAZER HOMES USA INC,10-Q,915840,2005-01-27,edgar/data/915840/0001104659-05-002793.txt,2005-01-27
30457,BEBE STORES INC,10-Q,1059272,2005-02-10,edgar/data/1059272/0001104659-05-005303.txt,2005-02-10
30735,BECTON DICKINSON & CO,10-Q,10795,2005-02-08,edgar/data/10795/0000950117-05-000540.txt,2005-02-08
30777,BED BATH & BEYOND INC,10-Q,886158,2005-01-04,edgar/data/886158/0001104659-05-000180.txt,2005-01-04
30884,BEEPER PLUS INC,10-Q,793595,2005-03-21,edgar/data/793595/0001085760-05-000008.txt,2005-03-21
30936,BEI TECHNOLOGIES INC,10-Q,1041866,2005-02-10,edgar/data/1041866/0000950134-05-002625.txt,2005-02-10
31224,BELL OIL CORP,10-Q,1045543,2005-01-14,edgar/data/1045543/0001193125-05-006392.txt,2005-01-14
